球员,出场数,上场总时间（min）,投篮率,命中次数,出手次数,三分投球率,三分命中次数,三分出手次数,罚球率,罚球命中次数,罚球出手次数,篮板数,助攻次数,抢断次数,盖帽次数,失误次数,犯规次数,生涯总得分
埃里克-莱克纳,7,41,0.5000 ,7,14,1,1,1,0.556,5,9,10,2,0,0,4,12,20
弗莱德-拉考尔,5,47,0.3330 ,7,21,0,0,0,0.857,6,7,6,4,0,0,0,6,20
斯坦-麦肯茨,7,71,0.2760 ,8,29,0,0,0,0.8,4,5,9,3,0,0,0,14,20
杰纳-瓜利亚,12,67,0.2310 ,6,26,0,0,0,0.727,8,11,23,4,0,0,0,10,20
盖斯-杰勒德,8,50,0.4210 ,8,19,0,0,0,0.5,4,8,16,2,1,1,5,8,20
约翰-特拉普,10,71,0.2420 ,8,33,0,0,0,0.571,4,7,16,5,0,0,0,9,20
罗恩-利文斯通,4,0,0.4210 ,8,19,0,0,0,0.571,4,7,0,5,0,0,0,13,20
肯尼-罗林斯,10,0,0.2500 ,6,24,0,0,0,1,8,8,0,9,0,0,0,20,20
鲁斯蒂-拉鲁,4,53,0.3750 ,6,16,0.4,2,5,0.6,6,10,6,6,1,0,4,6,20
Michael0Smith_,6,22,0.6000 ,6,10,0,0,3,1,7,7,0,1,1,0,1,3,19
克里斯蒂亚诺-费利西奥,6,83,0.6000 ,9,15,0,0,0,0.5,1,2,26,2,3,2,7,16,19
厄尔尼-巴瑞特,9,106,0.2120 ,7,33,0,0,0,1,5,5,13,8,0,0,0,21,19
塔特-乔治,6,66,0.3000 ,9,30,0,0,0,0.333,1,3,3,14,4,1,5,9,19
塞德里克-霍奇斯,3,45,0.4210 ,8,19,0,0,1,0.75,3,4,13,2,1,0,4,4,19
弗兰克-威廉姆斯,4,74,0.2730 ,6,22,0.308,4,13,0.6,3,5,2,5,3,0,4,13,19
扎恩-塔巴克,20,88,0.3530 ,6,17,0,0,0,0.875,7,8,20,1,1,5,3,17,19
泽维尔-孟福德,4,90,0.3210 ,9,28,0.125,1,8,0,0,2,9,10,6,3,5,8,19
萨拉赫-梅杰里,4,76,0.7000 ,7,10,0,0,0,0.417,5,12,13,1,3,5,0,11,19
迈克尔-史密斯,4,87,0.5830 ,7,12,0,0,0,0.455,5,11,22,8,1,2,2,14,19
马克-波普,13,88,0.5630 ,9,16,0,0,2,1,1,1,17,3,3,0,1,14,19
加勒-比夏普,2,0,0.2690 ,7,26,0,0,0,0.5,4,8,0,2,0,0,0,3,18
史蒂夫-谢夫勒,19,54,0.4380 ,7,16,0,0,0,0.5,4,8,20,3,4,0,2,4,18
唐-雷,3,0,0.3080 ,4,13,0,0,0,0.909,10,11,0,0,0,0,0,7,18
奥图-施内尔巴赫,2,0,0.3000 ,6,20,0,0,0,0.5,6,12,0,6,0,0,0,9,18
帕瑟-曼尼恩,8,41,0.3330 ,4,12,0,0,1,0.833,10,12,7,4,1,2,7,5,18
康特尼-亚历山大,5,39,0.4380 ,7,16,1,1,1,0.75,3,4,4,1,2,0,1,6,18
弗莱德-福斯特,5,49,0.4210 ,8,19,0,0,0,1,2,2,12,5,0,0,0,6,18
所罗门-琼斯,16,106,0.3640 ,8,22,0,0,0,0.5,2,4,24,3,2,3,1,12,18
拉玛尔-格林,6,69,0.2860 ,8,28,0,0,0,0.4,2,5,23,5,0,0,0,8,18
李-温菲尔德,7,77,0.3890 ,7,18,0,0,0,0.571,4,7,11,11,3,1,0,10,18
杰克-多万,10,0,0.2410 ,7,29,0,0,0,0.444,4,9,0,9,0,0,0,22,18
杰克-摩尔,9,53,0.4000 ,8,20,0,0,0,0.333,2,6,17,2,0,0,0,14,18
杰罗姆-罗宾逊,5,46,0.3570 ,5,14,0.5,3,6,1,5,5,6,7,2,0,1,4,18
杰罗德-穆斯塔夫,10,32,0.7000 ,7,10,0,0,0,0.8,4,5,7,0,0,2,1,2,18
格雷格-史密斯,6,59,0.6670 ,6,9,0,0,0,0.5,6,12,13,0,2,2,4,9,18
比尔-梅尔西奥尼,10,55,0.3080 ,8,26,0,0,0,0.333,2,6,7,11,0,0,0,4,18
米奇-洛特纳,14,0,0.1380 ,8,58,0,0,0,0.286,2,7,0,5,0,0,0,23,18
艾尔-斯金纳,5,47,0.3530 ,6,17,0,0,0,0.75,6,8,10,11,3,1,6,6,18
萨鲁纳斯-贾斯科维休斯,10,72,0.3500 ,7,20,0.222,2,9,0.5,2,4,6,8,0,1,5,8,18
诺阿-冯莱,10,112,0.3810 ,8,21,0,0,0,0.4,2,5,33,10,3,3,6,12,18
迈克·德安东尼,4,42,0.5000 ,7,14,0,0,0,1,4,4,7,1,4,1,0,6,18
迪克-吉布斯,11,40,0.3680 ,7,19,0,0,0,1,4,4,2,4,3,0,0,10,18
Bill0Hosket,9,51,0.4380 ,7,16,0,0,0,0.6,3,5,12,4,0,0,0,9,17
D.J.威尔森,6,36,0.5710 ,8,14,0.2,1,5,0,0,0,8,4,0,0,6,5,17
Ralph0O'Brien,3,67,0.3850 ,5,13,0,0,0,1,7,7,4,3,0,0,0,3,17
乔-科隆,4,0,0.2330 ,7,30,0,0,0,0.5,3,6,0,3,0,0,0,13,17
乔恩-洛伊尔,13,48,0.4670 ,7,15,0.5,1,2,0.667,2,3,16,2,2,1,0,5,17
佩里-琼斯,12,59,0.3680 ,7,19,0.3,3,10,0,0,0,10,1,0,1,1,9,17
卡洛斯-克拉克,11,31,0.4670 ,7,15,0,0,0,0.75,3,4,3,4,2,2,1,5,17
埃德里斯-阿德巴约,5,78,0.4670 ,7,15,0,0,1,0.214,3,14,20,0,0,2,2,8,17
奥泽尔-琼斯,5,73,0.7270 ,8,11,0,0,0,0.167,1,6,17,4,1,4,7,18,17
戈尔吉-吉昂,5,70,0.3330 ,6,18,0.4,2,5,0.75,3,4,18,4,2,4,1,6,17
拉里-琼斯,5,25,0.4170 ,5,12,0,0,0,0.636,7,11,4,2,0,0,0,5,17
本-谢阿纳斯,3,0,0.2860 ,6,21,0,0,0,0.556,5,9,0,2,0,0,0,10,17
格雷格-德莱琳,9,89,0.3330 ,6,18,1,1,1,0.667,4,6,20,0,0,0,3,22,17
米尔特-舒恩,3,0,0.2940 ,5,17,0,0,0,0.7,7,10,0,3,0,0,0,6,17
詹姆斯-杨,13,49,0.3330 ,6,18,0.333,5,15,0,0,0,7,3,0,0,2,3,17
迈克尔-迪克森,4,82,0.2730 ,6,22,0.375,3,8,0.5,2,4,4,3,2,3,2,8,17
雷-科尔利,6,0,0.1670 ,6,36,0,0,0,0.455,5,11,0,10,0,0,0,5,17
韦斯利-约翰逊,9,88,0.3570 ,5,14,0.333,3,9,0.8,4,5,20,2,2,4,2,8,17
乔纳-博尔登,8,66,0.2780 ,5,18,0.267,4,15,0.5,2,4,14,2,2,1,7,10,16
加里-格雷戈尔,7,67,0.2860 ,6,21,0,0,0,0.667,4,6,17,2,0,0,0,14,16
卢克-维特,7,28,0.5450 ,6,11,0,0,0,1,4,4,9,4,0,0,0,4,16
哈马德-哈达迪,13,51,0.4170 ,5,12,0,0,1,0.75,6,8,17,1,0,7,3,12,16
布拉德-霍兰德,11,36,0.5450 ,6,11,0,0,0,1,4,4,5,4,5,0,4,8,16
托比-奈特,6,48,0.3000 ,6,20,0,0,0,0.5,4,8,19,1,1,4,3,9,16
杰克-莱曼,7,37,0.6000 ,6,10,0.333,1,3,0.75,3,4,5,2,3,0,0,5,16
杰弗瑞-洛文吉,4,32,0.4170 ,5,12,0,0,2,1,6,6,10,5,0,0,2,1,16
查克-内维特,16,55,0.3130 ,5,16,0,0,0,0.6,6,10,16,1,4,9,6,13,16
比尔-托斯赫夫,4,134,0.0880 ,3,34,0,0,0,1,10,10,11,11,0,0,0,14,16
罗伊-怀特,3,40,0.5000 ,7,14,0,0,1,0.5,2,4,10,0,0,0,1,4,16
肖恩-马科斯,6,83,0.4620 ,6,13,0,0,1,0.8,4,5,20,0,3,2,2,9,16
达夫-詹姆森,2,21,0.3850 ,5,13,0,0,1,1,6,6,3,4,1,0,1,4,16
迪克-辛普金斯,13,74,0.3750 ,6,16,0,0,0,0.444,4,9,13,3,2,1,3,10,16
阿德里安-布兰奇,12,47,0.1670 ,4,24,0,0,1,0.571,8,14,11,7,2,0,5,10,16
阿隆佐-布拉德利,5,16,0.6670 ,6,9,0,0,0,0.6,3,5,3,1,1,0,0,2,16
雷-沃蒂斯,3,0,0.2310 ,6,26,0,0,0,0.8,4,5,0,6,0,0,0,6,16
George0Johnson__,11,35,0.5380 ,7,13,0,0,0,0.5,1,2,11,2,0,0,0,9,15
乔治-穆雷桑,3,70,0.4440 ,4,9,0,0,0,0.875,7,8,18,0,0,4,11,6,15
基斯-詹宁斯,3,39,0.3080 ,4,13,0.2,1,5,0.857,6,7,5,4,1,0,4,11,15
大卫-里弗斯,6,33,0.3330 ,4,12,0,0,2,0.875,7,8,4,6,0,0,4,6,15
尼克-沙贝克,3,0,0.2730 ,6,22,0,0,0,0.6,3,5,0,0,0,0,0,6,15
托马斯-萨托兰斯基,16,96,0.2630 ,5,19,0,0,3,0.556,5,9,14,9,1,0,5,8,15
拜伦-休斯顿,4,47,0.6670 ,6,9,0,0,0,0.6,3,5,5,3,1,2,0,9,15
拜伦-埃尔文,4,47,0.2270 ,5,22,0,0,0,0.833,5,6,8,5,2,0,3,7,15
贾万-欧德汉姆,5,95,0.4380 ,7,16,0,0,0,0,0,0,24,3,6,7,12,19,14
赛迪-奥斯曼,14,62,0.3330 ,6,18,0.143,1,7,0.25,1,4,7,3,3,0,0,5,14
阿卜杜勒-纳迪尔,14,39,0.3530 ,6,17,0,0,4,0.5,2,4,3,3,1,2,2,2,14
雷吉-巴洛克,4,28,0.8570 ,6,7,0.667,2,3,0,0,0,2,4,1,0,0,2,14
鲍伯-格里森,8,24,0.3330 ,5,15,0,0,0,0.8,4,5,7,3,0,0,0,4,14
鲍伯-达菲,5,24,0.4000 ,6,15,0,0,0,1,2,2,3,3,0,0,0,3,14
Hal0Tidrick,3,0,0.2630 ,5,19,0,0,0,0.6,3,5,0,1,0,0,0,16,13
保罗-哈斯顿,5,0,0.1580 ,3,19,0,0,0,0.538,7,13,0,2,0,0,0,14,13
保罗-汤普森,3,34,0.4170 ,5,12,0,0,2,0.6,3,5,5,2,4,1,4,3,13
克里斯-詹特,11,62,0.2500 ,5,20,0.231,3,13,0,0,0,9,7,2,0,3,7,13
内特-约翰斯顿,3,19,0.5450 ,6,11,0,0,0,1,1,1,6,1,1,1,0,5,13
唐尼-福尔曼,9,0,0.1500 ,3,20,0,0,0,0.636,7,11,0,7,0,0,0,15,13
埃里克-费恩斯腾,20,46,0.3080 ,4,13,0,0,0,0.625,5,8,11,1,1,4,2,4,13
大卫-哈里森,6,31,0.3330 ,3,9,0,0,0,0.583,7,12,5,0,1,1,4,11,13
安特-日日奇,8,23,0.5000 ,5,10,0,0,0,0.5,3,6,6,1,0,1,2,2,13
布鲁斯-布朗,4,56,0.3570 ,5,14,0.2,1,5,1,2,2,8,2,2,1,2,8,13
拉里-斯图尔特,4,16,0.8330 ,5,6,0.5,1,2,1,2,2,1,2,2,1,2,4,13
杰里-卢罗,9,0,0.2380 ,5,21,0,0,0,1,3,3,0,1,0,0,0,10,13
沃尔特-赫尔曼,8,49,0.3330 ,4,12,0.6,3,5,0.5,2,4,2,2,1,0,0,7,13
约翰-汤普森,6,32,0.2140 ,3,14,0,0,0,1,7,7,16,1,0,0,0,4,13
约翰-阿米奇,7,47,0.3080 ,4,13,0,0,0,0.625,5,8,4,3,3,2,0,6,13
蒂姆-弗雷泽,11,37,0.5000 ,6,12,0.333,1,3,0,0,0,8,10,3,0,3,7,13
詹姆斯-安德森,10,50,0.3570 ,5,14,0.286,2,7,0.5,1,2,9,3,1,0,0,3,13
谢尔登-威廉姆斯,8,57,0.4440 ,4,9,0,0,0,0.833,5,6,13,0,1,0,6,8,13
迈克-诺瓦克,4,0,0.2730 ,6,22,0,0,0,1,1,1,0,10,0,0,0,13,13
迪-布朗,8,52,0.3530 ,6,17,0,0,6,0.25,1,4,3,9,0,0,4,1,13
雷杰-斯莱特,4,52,0.3750 ,6,16,0,0,0,0.5,1,2,14,0,2,3,3,15,13
马里奥-韦斯特,24,72,0.3530 ,6,17,0,0,2,0.2,1,5,9,3,3,0,1,9,13
Bud0Ogden,2,16,0.4550 ,5,11,0,0,0,0.5,2,4,3,6,0,0,0,1,12
Charles0Jones_,4,36,0.5000 ,3,6,0,0,0,1,6,6,4,3,0,3,3,4,12
Goo0Kennedy,6,35,0.5000 ,5,10,0,0,0,1,2,2,12,0,0,0,0,6,12
亨利-詹姆斯,16,67,0.1740 ,4,23,0.222,2,9,0.5,2,4,3,4,2,0,5,14,12
切洛基-帕克斯,7,55,0.3530 ,6,17,0,0,0,0,0,1,16,0,1,2,2,11,12
吉姆-麦克艾尔罗伊,5,32,0.4440 ,4,9,0,0,1,0.8,4,5,2,4,0,0,2,1,12
大卫-伍德,8,64,0.5710 ,4,7,1,2,2,0.5,2,4,8,4,3,0,1,15,12
安迪-邓肯,6,0,0.3130 ,5,16,0,0,0,0.667,2,3,0,3,0,0,0,10,12
尤维-普莱,7,29,0.4290 ,3,7,0,0,0,0.5,6,12,7,1,1,1,3,6,12
尼克-约翰逊,9,50,0.2350 ,4,17,0.143,1,7,1,3,3,4,4,0,1,4,7,12
格雷格-格拉汉姆,6,43,0.2860 ,4,14,0.25,1,4,0.75,3,4,5,6,2,0,1,5,12
罗恩-李,2,41,0.3130 ,5,16,0,0,0,1,2,2,6,3,4,0,4,7,12
罗恩-霍恩,7,55,0.3330 ,4,12,0,0,0,0.8,4,5,11,2,0,0,0,13,12
艾派-尤度,16,92,0.4290 ,6,14,0,0,0,0,0,4,12,1,2,4,1,9,12
莫里斯-斯托克斯,1,39,0.2500 ,3,12,0,0,0,0.857,6,7,15,2,0,0,0,3,12
萨利姆-斯塔德迈尔,3,28,0.4440 ,4,9,0.333,2,6,1,2,2,1,0,1,0,3,2,12
贾米尔-沃特森,5,57,0.6670 ,6,9,0,0,0,0,0,0,1,3,2,1,6,12,12
赫姆-费奇,9,0,0.3750 ,3,8,0,0,0,0.75,6,8,0,0,0,0,0,10,12
迈克-普莱斯,8,26,0.3640 ,4,11,0,0,0,0.667,4,6,5,5,0,0,0,11,12
马库斯-希斯利普,3,27,0.7140 ,5,7,0,0,0,0.5,2,4,5,2,2,1,1,5,12
J.J.0Anderson,5,13,0.6250 ,5,8,1,1,1,0,0,0,4,0,0,1,0,2,11
Red0Morrison,10,65,0.3330 ,5,15,0,0,0,0.143,1,7,25,1,0,0,0,27,11
克里斯-沃什布恩,6,31,0.4290 ,3,7,0,0,0,0.833,5,6,1,2,0,0,4,2,11
塞德里克-托尼,3,15,0.5000 ,3,6,0.5,3,6,1,2,2,0,2,1,0,2,4,11
德马库斯-考辛斯,2,25,0.3080 ,4,13,0.333,1,3,1,2,2,11,5,1,0,6,6,11
拉菲尔-阿鲁尤,5,28,0.3750 ,3,8,0,0,0,0.417,5,12,11,1,1,0,0,8,11
杜恩-克鲁赫,4,0,0.1880 ,3,16,0,0,0,1,5,5,0,6,0,0,0,11,11
杜恩-考斯威尔,8,55,0.3330 ,2,6,0,0,1,0.7,7,10,12,2,1,0,3,6,11
杰夫-韦伯,9,23,0.5710 ,4,7,0,0,0,1,3,3,1,2,0,0,0,2,11
杰纳-英格伦,2,0,0.2000 ,1,5,0,0,0,0.818,9,11,0,1,0,0,0,6,11
格雷格-迈纳,4,37,0.3850 ,5,13,0,0,0,1,1,1,1,2,1,1,1,3,11
桑蒂埃塔-甘尼斯,5,7,0.8330 ,5,6,1,1,1,0,0,2,2,0,0,0,0,1,11
比尔-麦克吉尔,5,34,0.5560 ,5,9,0,0,0,1,1,1,9,2,0,0,0,9,11
詹姆斯-怀特,9,22,0.3850 ,5,13,0.25,1,4,0,0,0,3,0,0,0,1,1,11
达米安-琼斯,8,32,0.4440 ,4,9,0,0,0,0.6,3,5,9,0,2,1,3,7,11
迈克-斯姆瑞克,21,72,0.1880 ,3,16,0,0,0,0.556,5,9,13,0,1,10,3,21,11
迪-吉布森,3,0,0.3640 ,4,11,0,0,0,0.6,3,5,0,2,0,0,0,11,11
阿尔奇-蒂斯,2,18,0.3330 ,4,12,0,0,0,1,3,3,4,2,0,0,0,2,11
鲍伯-沙弗,4,39,0.1500 ,3,20,0,0,0,0.833,5,6,9,1,0,0,0,8,11
麦克-麦克纳玛纳,8,16,0.5560 ,5,9,0,0,0,0.5,1,2,4,0,0,0,0,1,11
Aud0Brindley,3,0,0.5000 ,3,6,0,0,0,0.667,4,6,0,0,0,0,0,4,10
Easy0Parham,2,0,0.3850 ,5,13,0,0,0,0,0,0,0,6,0,0,0,6,10
佩德拉格-德罗比亚克,3,38,0.3330 ,4,12,0,0,0,0.5,2,4,8,2,1,0,1,2,10
凯文-阿普肖,3,24,0.4170 ,5,12,0,0,0,0,0,0,2,5,1,0,1,4,10
卢卡斯-诺奎拉,13,59,0.5710 ,4,7,0,0,0,0.5,2,4,14,1,0,0,3,10,10
吉姆-维尔,3,13,0.3850 ,5,13,0,0,0,0,0,0,2,0,0,0,0,1,10
奥兰多-约翰逊,12,28,0.1820 ,2,11,0.333,1,3,0.556,5,9,3,1,0,0,1,0,10
弗里多-弗雷,5,0,0.1580 ,3,19,0,0,0,0.364,4,11,0,7,0,0,0,11,10
拉扎罗-博雷尔,2,26,0.5710 ,4,7,0,0,0,0.5,2,4,11,1,0,0,1,2,10
斯坦-帕特里克,3,0,0.5710 ,4,7,0,0,0,0.667,2,3,0,1,0,0,0,2,10
本-沙德勒,4,0,0.2170 ,5,23,0,0,0,0,0,2,0,1,0,0,0,4,10
杰克-卡特,8,0,0.1430 ,3,21,0,0,0,0.667,4,6,0,3,0,0,0,12,10
杰克-费尔曼,3,0,0.4000 ,4,10,0,0,0,0.667,2,3,0,3,0,0,0,10,10
查理-哈德尼特,5,22,0.4000 ,4,10,0,0,0,0.4,2,5,6,2,0,0,0,2,10
特雷沃-鲁芬,5,11,0.5000 ,4,8,0.25,1,4,0.2,1,5,3,2,1,0,0,0,10
盖尔雄-亚布塞莱,15,57,0.2730 ,3,11,0,0,6,0.5,4,8,12,4,2,1,1,10,10
科里-克劳德,4,12,0.5560 ,5,9,0,0,2,0,0,1,2,1,1,0,2,1,10
约什-哈雷尔森,4,22,0.4440 ,4,9,0,0,1,1,2,2,8,0,0,0,2,6,10
约翰-华莱士,5,44,0.2350 ,4,17,0,0,1,1,2,2,8,5,2,2,3,7,10
约翰-布朗,7,64,0.3080 ,4,13,0,0,0,1,2,2,10,1,1,1,7,10,10
约翰-楚格尔,3,11,0.6250 ,5,8,0,0,0,0,0,0,4,1,0,0,0,0,10
约翰-詹金斯,8,45,0.4440 ,4,9,0.4,2,5,0,0,0,5,3,0,0,2,4,10
罗伯特-霍金斯,5,12,0.8000 ,4,5,0,0,0,1,2,2,0,2,1,0,0,6,10
罗杰-布朗,11,56,0.4000 ,4,10,0,0,0,0.5,2,4,14,2,0,2,0,10,10
莱奥-默古斯,3,0,0.1670 ,3,18,0,0,0,0.571,4,7,0,7,0,0,0,10,10
萨姆-威廉姆斯,9,81,0.2140 ,3,14,0,0,0,0.333,4,12,18,3,2,6,9,9,10
谢赫-迪亚洛,7,48,0.4170 ,5,12,0,0,0,0,0,0,9,0,1,1,1,9,10
雷-托尔波特,5,33,0.6000 ,3,5,0,0,0,0.5,4,8,5,1,4,0,0,7,10
马奎斯-蒂格,8,72,0.2940 ,5,17,0,0,5,0,0,0,3,12,2,1,2,10,10
马瑞-威尔,3,0,0.3330 ,3,9,0,0,0,0.5,4,8,0,0,0,0,0,4,10
鲍伯-卡尼,7,41,0.1250 ,1,8,0,0,0,0.889,8,9,5,3,0,0,0,7,10
K.J.0麦克丹尼尔斯,4,34,0.3080 ,4,13,0.333,1,3,0,0,0,7,1,0,3,0,3,9
Mo0Mahoney,4,45,0.2140 ,3,14,0,0,0,0.6,3,5,7,2,0,0,0,14,9
Rich0Manning,3,21,0.2220 ,2,9,0,0,0,0.833,5,6,4,1,0,1,0,5,9
乔-杨,5,13,0.3750 ,3,8,0.25,1,4,1,2,2,1,1,0,0,2,4,9
乔丹-麦克雷,2,4,1.0000 ,4,4,1,1,1,0,0,0,2,0,0,0,0,0,9
亨利-迪克森,5,15,0.4440 ,4,9,0,0,0,0.5,1,2,4,3,1,0,0,1,9
伊尔夫-比莫拉斯,3,20,0.3750 ,3,8,0,0,0,1,3,3,6,1,0,0,0,4,9
奥拉迈德-奥德杰,3,17,0.8000 ,4,5,0,0,0,0.2,1,5,6,1,0,0,1,2,9
弗兰-科伦,6,0,0.2500 ,3,12,0,0,0,1,3,3,0,3,0,0,0,3,9
弗兰克-库德尔卡,3,0,0.2860 ,4,14,0,0,0,0.2,1,5,0,6,0,0,0,7,9
德安德鲁-利金斯,11,81,0.3000 ,3,10,0.2,1,5,0.333,2,6,15,4,1,1,4,10,9
拉里-蒂米克,2,37,0.8000 ,4,5,0,0,0,0.5,1,2,7,0,0,1,0,3,9
斯科特-斯凯尔斯,2,23,0.5000 ,4,8,0,0,2,1,1,1,1,3,0,0,5,2,9
普里莫兹-布雷泽克,4,25,0.5710 ,4,7,0,0,0,0.5,1,2,3,0,1,0,0,5,9
杰夫-朱德金斯,7,10,0.5000 ,4,8,0.333,1,3,0,0,0,4,0,1,0,0,0,9
杰纳-罗德斯,2,51,0.2860 ,4,14,0,0,0,0.25,1,4,7,5,0,0,0,5,9
格雷森-艾伦,2,15,0.2860 ,2,7,0,0,3,0.714,5,7,1,0,0,0,0,0,9
比利-哈塞特,7,0,0.2500 ,3,12,0,0,0,0.3,3,10,0,4,0,0,0,8,9
比尔-亨利,3,0,0.1180 ,2,17,0,0,0,0.556,5,9,0,5,0,0,0,14,9
汉克-莱弗考维茨,2,0,0.2220 ,4,18,0,0,0,1,1,1,0,0,0,0,0,4,9
汉克-麦克多维尔,15,37,0.2500 ,2,8,0,0,0,0.625,5,8,10,4,0,0,2,8,9
沃恩-哈顿,6,17,0.3080 ,4,13,0,0,0,0.333,1,3,3,1,0,0,0,3,9
洛伦佐-布朗,4,30,0.3000 ,3,10,0.4,2,5,0.5,1,2,6,2,0,1,1,2,9
肯尼-巴特尔,8,34,0.3080 ,4,13,0,0,0,1,1,1,5,0,0,0,2,5,9
萨姆-德克尔,4,31,0.2500 ,3,12,0.5,3,6,0,0,0,10,1,1,1,0,2,9
西奥-平森,3,21,0.3750 ,3,8,0.429,3,7,0,0,0,3,3,2,0,1,0,9
里克-布朗森,16,28,0.2860 ,2,7,0,0,0,0.833,5,6,1,3,1,0,5,5,9
雷杰-吉尔里,7,46,0.4290 ,3,7,0.25,1,4,0.5,2,4,2,6,1,0,2,10,9
马蒂-康伦,4,47,0.3750 ,3,8,0,0,0,0.75,3,4,5,3,1,1,6,7,9
鲍伯-麦克内尔,5,30,0.5710 ,4,7,0,0,0,0.5,1,2,6,5,0,0,0,6,9
鲍比-库克,3,0,0.3000 ,3,10,0,0,0,0.5,3,6,0,6,0,0,0,3,9
Bob0Cluggish,5,0,0.1480 ,4,27,0,0,0,0,0,2,0,0,0,0,0,12,8
Luther0Rackley,11,29,0.1430 ,2,14,0,0,0,1,4,4,7,1,0,0,0,7,8
Sam0Williams_,2,16,0.5710 ,4,7,0,0,0,0,0,2,4,1,0,0,0,5,8
丹尼尔-泰斯,6,36,0.3750 ,3,8,0,0,1,1,2,2,7,0,1,1,1,3,8
乔丹-米基,4,28,0.4440 ,4,9,0,0,0,0,0,0,7,2,0,2,1,3,8
亚当-莫里森,2,13,0.4440 ,4,9,0,0,2,0,0,0,5,1,0,0,0,2,8
伦尼-罗森布鲁斯,4,11,0.3330 ,3,9,0,0,0,0.667,2,3,3,0,0,0,0,0,8
伯特-库克,1,20,0.6670 ,4,6,0,0,0,0,0,2,0,2,0,0,0,3,8
克里斯-奎因,5,24,0.4290 ,3,7,0,0,1,1,2,2,1,5,2,0,2,1,8
凯尔-辛格勒,7,60,0.3000 ,3,10,0.5,2,4,0,0,2,8,0,1,0,0,6,8
凯德里克-布朗,5,14,0.5000 ,3,6,1,1,1,0.5,1,2,2,0,1,1,0,0,8
安东尼-米勒,8,48,0.3000 ,3,10,0,0,0,1,2,2,15,2,3,1,4,7,8
安东尼-罗伯森,1,4,0.7500 ,3,4,1,2,2,0,0,0,1,0,2,0,1,0,8
布莱恩-罗伯茨,10,35,0.2220 ,2,9,0,0,4,0.667,4,6,1,3,0,0,1,5,8
布鲁克-斯蒂帕,4,20,0.2860 ,2,7,0,0,1,0.667,4,6,3,2,0,0,2,3,8
弗莱迪-刘易斯,3,9,0.4440 ,4,9,0,0,0,0,0,0,4,0,0,0,0,1,8
德尼斯-霍普森,5,18,0.3330 ,2,6,0,0,0,0.444,4,9,4,1,0,1,1,2,8
德维恩-琼斯,9,31,0.5000 ,2,4,0,0,0,0.667,4,6,11,0,0,1,2,4,8
托尼-罗滕,6,18,0.1820 ,2,11,0,0,2,1,4,4,4,2,1,0,2,1,8
拜伦-贝克,5,29,0.3330 ,3,9,0,0,0,1,2,2,6,1,0,0,0,5,8
斯坦-乐福,7,30,0.3000 ,3,10,0,0,0,0.667,2,3,10,2,0,0,0,4,8
斯科奥特-麦克雷,4,38,0.6670 ,4,6,0,0,1,0,0,1,6,3,1,0,0,8,8
本-麦克唐纳德,10,85,0.1430 ,3,21,0,0,5,0.5,2,4,14,10,5,1,4,15,8
杰森-汤普森,10,54,0.4440 ,4,9,0,0,1,0,0,3,11,1,0,1,1,6,8
查克-特里,5,18,0.8000 ,4,5,0,0,0,0,0,0,3,1,0,0,0,2,8
格兰维尔-维特斯,13,34,0.5710 ,4,7,0,0,0,0,0,0,6,0,1,4,1,4,8
格雷格-凯尔瑟,5,25,0.2860 ,2,7,0,0,0,1,4,4,9,2,1,0,2,6,8
泰瑞斯-格兰特,2,11,0.6670 ,4,6,0,0,0,0,0,0,4,0,0,0,0,1,8
特里-杜伊劳德,10,12,0.4000 ,4,10,0,0,2,0,0,0,0,0,1,0,1,0,8
约翰-维特泽尔,5,38,0.4290 ,3,7,0,0,0,1,2,2,4,4,0,0,0,8,8
约翰-莫顿,3,11,0.4000 ,2,5,0,0,0,1,4,4,0,0,0,0,2,1,8
罗德尼-怀特,5,29,0.2500 ,4,16,0,0,3,0,0,0,5,0,2,0,3,3,8
菲尔-汉金森,4,8,0.4290 ,3,7,0,0,0,1,2,2,3,0,0,1,0,0,8
蒂姆-巴塞特,5,36,0.4290 ,3,7,0,0,0,1,2,2,3,0,0,0,2,11,8
诺姆-斯万森,6,23,0.4290 ,3,7,0,0,0,0.667,2,3,5,0,0,0,0,5,8
谢尔文-赖肯,4,19,0.8000 ,4,5,0,0,0,0,0,1,1,2,0,0,0,3,8
路易斯-蒙特罗,6,8,1.0000 ,3,3,1,2,2,0,0,0,0,0,0,0,0,1,8
达雷恩-汉考克,9,51,0.3640 ,4,11,0,0,1,0,0,3,9,2,2,1,4,10,8
迪克-迪基,3,31,0.1250 ,1,8,0,0,0,0.857,6,7,3,5,0,0,0,7,8
阿尔弗莱德里克-休斯,3,18,0.4440 ,4,9,0,0,0,0,0,0,0,1,1,0,1,3,8
阿莱克西-阿金萨,3,10,1.0000 ,4,4,0,0,0,0,0,0,1,1,1,0,0,2,8
雷-酷卡,3,0,0.3000 ,3,10,0,0,0,1,2,2,0,0,0,0,0,12,8
马尔科姆-德莱尼,1,3,1.0000 ,3,3,1,1,1,0.5,1,2,1,0,0,0,0,0,8
马尚-布鲁克斯,7,40,0.3750 ,3,8,0,0,1,1,2,2,5,3,0,0,3,3,8
马里奥-班尼特,6,18,0.5000 ,3,6,0,0,0,1,2,2,9,0,0,1,2,2,8
